Timestamp,Product,Event_Type,Quantity,Current_Stock
2026-08-06 10:07:09,Mobile Phone,ADDITION,1,7
2026-08-06 10:07:13,Mobile Phone,ADDITION,1,8
2026-08-06 10:07:15,Mobile Phone,REMOVAL,1,7
2026-08-06 10:07:21,Mobile Phone,ADDITION,1,8
2026-08-06 10:07:25,Mobile Phone,REMOVAL,1,7
2026-08-06 10:07:43,Mobile Phone,REMOVAL,1,6
2026-08-06 10:12:56,Mobile Phone,ADDITION,1,7
2026-08-06 10:12:57,Mobile Phone,REMOVAL,1,6
2026-08-06 10:12:57,Mobile Phone,ADDITION,1,7
2026-08-06 10:12:58,Mobile Phone,REMOVAL,1,6
2026-08-06 10:12:58,Mobile Phone,ADDITION,1,7
2026-08-06 10:12:59,Mobile Phone,REMOVAL,1,6
2026-08-06 10:12:59,Mobile Phone,ADDITION,1,7
2026-08-06 10:12:59,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:00,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:00,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:01,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:01,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:02,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:02,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:03,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:03,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:04,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:04,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:04,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:05,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:05,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:06,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:06,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:07,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:07,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:07,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:08,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:08,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:09,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:09,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:10,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:10,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:11,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:11,Mobile Phone,REMOVAL,1,6
2026-08-06 10:13:41,Tie,ADDITION,1,1
2026-08-06 10:13:42,Tie,REMOVAL,1,0
2026-08-06 10:13:49,Mobile Phone,ADDITION,1,7
2026-08-06 10:13:49,Mobile Phone,REMOVAL,1,6
2026-08-06 10:14:10,Tie,ADDITION,1,1
2026-08-06 10:14:10,Tie,REMOVAL,1,0
2026-08-06 10:20:59,Tie,ADDITION,1,1
2026-08-06 10:20:59,Tie,REMOVAL,1,0
2026-08-06 10:21:01,Mobile Phone,ADDITION,1,7
2026-08-06 10:21:01,Mobile Phone,REMOVAL,1,6
2026-08-06 10:21:01,Mobile Phone,ADDITION,1,7
2026-08-06 10:21:02,Mobile Phone,REMOVAL,1,6
2026-08-06 10:21:02,Mobile Phone,ADDITION,1,7
2026-08-06 10:21:03,Mobile Phone,REMOVAL,1,6
2026-08-06 10:21:03,Mobile Phone,ADDITION,1,7
2026-08-06 10:21:04,Mobile Phone,REMOVAL,1,6
