epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.51289,1.50215,2.53233,1.79139,0.56396,0.85,0.80224,0.613,1.63412,1.10944,1.37892,0,0,0
2,7.27673,1.82534,4.47435,2.02633,0.55,0.85,0.80325,0.61362,1.64536,1.106,1.38084,1.18971e-06,1.18971e-06,1.18971e-06
3,10.3999,1.68679,2.53442,1.83345,0.53857,0.85,0.8453,0.63018,1.66607,1.09709,1.38568,2.37768e-06,2.37768e-06,2.37768e-06
4,13.5638,1.67058,2.82662,1.71937,0.54304,0.85,0.84623,0.63032,1.66111,1.08773,1.37819,3.56216e-06,3.56216e-06,3.56216e-06
5,16.308,1.90832,3.1958,2.0627,0.54304,0.85,0.84623,0.63032,1.66111,1.08773,1.37819,4.74142e-06,4.74142e-06,4.74142e-06
6,19.1991,2.19933,2.99459,2.42133,0.53574,0.85,0.85075,0.62327,1.64228,1.08294,1.36104,5.91374e-06,5.91374e-06,5.91374e-06
7,21.9906,2.05415,2.65099,2.1902,0.53574,0.85,0.85075,0.62327,1.64228,1.08294,1.36104,7.0774e-06,7.0774e-06,7.0774e-06
8,24.8428,1.4536,4.2366,1.76822,0.54541,0.85,0.81494,0.6071,1.64185,1.07503,1.34924,8.2307e-06,8.2307e-06,8.2307e-06
9,27.5724,2.03395,2.94519,2.21937,0.54541,0.85,0.81494,0.6071,1.64185,1.07503,1.34924,9.37195e-06,9.37195e-06,9.37195e-06
10,30.5497,1.7952,2.82688,1.88036,0.57465,0.86667,0.85865,0.63773,1.61583,1.06959,1.33582,1.04995e-05,1.04995e-05,1.04995e-05
11,33.3402,1.95639,3.96957,2.12881,0.57465,0.86667,0.85865,0.63773,1.61583,1.06959,1.33582,1.16117e-05,1.16117e-05,1.16117e-05
12,36.2511,1.5767,2.42968,1.82835,0.57465,0.86667,0.85865,0.63773,1.61583,1.06959,1.33582,1.27069e-05,1.27069e-05,1.27069e-05
13,39.1823,1.747,3.18008,1.95799,0.83136,0.65,0.88198,0.64228,1.59259,1.07096,1.3231,1.37836e-05,1.37836e-05,1.37836e-05
14,41.9936,1.79057,3.17876,2.06811,0.83136,0.65,0.88198,0.64228,1.59259,1.07096,1.3231,1.48402e-05,1.48402e-05,1.48402e-05
15,45.0103,1.44433,2.92184,1.83005,0.83136,0.65,0.88198,0.64228,1.59259,1.07096,1.3231,1.58751e-05,1.58751e-05,1.58751e-05
16,47.8143,1.3191,2.72113,1.68279,0.86042,0.65,0.89837,0.6536,1.59807,1.0922,1.32373,1.6887e-05,1.6887e-05,1.6887e-05
17,50.7519,2.03796,4.01854,2.29984,0.86042,0.65,0.89837,0.6536,1.59807,1.0922,1.32373,1.78742e-05,1.78742e-05,1.78742e-05
18,53.5148,1.46325,1.76805,1.62446,0.86042,0.65,0.89837,0.6536,1.59807,1.0922,1.32373,1.88355e-05,1.88355e-05,1.88355e-05
19,56.3904,2.2446,4.46695,2.42445,0.86042,0.65,0.89837,0.6536,1.59807,1.0922,1.32373,1.97694e-05,1.97694e-05,1.97694e-05
20,59.6538,2.02907,3.24432,2.21293,0.87701,0.65,0.8987,0.63572,1.63301,1.11964,1.34027,2.06747e-05,2.06747e-05,2.06747e-05
21,62.5452,1.24901,2.18769,1.63885,0.87701,0.65,0.8987,0.63572,1.63301,1.11964,1.34027,2.155e-05,2.155e-05,2.155e-05
22,65.7969,1.72485,2.2693,1.92033,0.87701,0.65,0.8987,0.63572,1.63301,1.11964,1.34027,2.23942e-05,2.23942e-05,2.23942e-05
23,68.7458,1.8097,3.62247,2.08175,0.87701,0.65,0.8987,0.63572,1.63301,1.11964,1.34027,2.32061e-05,2.32061e-05,2.32061e-05
24,71.925,1.93207,4.3154,1.99362,0.88681,0.65,0.89097,0.62724,1.68179,1.14125,1.37372,2.39845e-05,2.39845e-05,2.39845e-05
25,74.897,1.49824,3.63521,1.86887,0.88681,0.65,0.89097,0.62724,1.68179,1.14125,1.37372,2.47284e-05,2.47284e-05,2.47284e-05
26,77.8908,1.62847,2.29298,1.82098,0.88681,0.65,0.89097,0.62724,1.68179,1.14125,1.37372,2.54368e-05,2.54368e-05,2.54368e-05
27,80.8732,1.85908,3.46597,1.95261,0.88681,0.65,0.89097,0.62724,1.68179,1.14125,1.37372,2.61087e-05,2.61087e-05,2.61087e-05
28,83.8348,1.25564,2.20711,1.53664,0.88681,0.65,0.89097,0.62724,1.68179,1.14125,1.37372,2.67434e-05,2.67434e-05,2.67434e-05
29,86.8333,1.82903,4.71078,2.06556,0.88159,0.65,0.85605,0.58821,1.70635,1.20753,1.40419,2.73399e-05,2.73399e-05,2.73399e-05
30,90.0345,1.43261,2.87392,1.84714,0.88159,0.65,0.85605,0.58821,1.70635,1.20753,1.40419,2.78975e-05,2.78975e-05,2.78975e-05
31,92.8363,1.56778,1.92976,1.7121,0.88159,0.65,0.85605,0.58821,1.70635,1.20753,1.40419,2.84155e-05,2.84155e-05,2.84155e-05
